Ressource;Arbeitend;Wartend;Blockiert
root.PickAndPlace_To_Sorter;93,22233598;6,777664022;0
root.PickAndPlace_To_Lift;66,66704797;0;33,33295203
root.Station_Cycle_Entry;49,98255538;50,01744462;0
root.Station_Cycle_Drill;49,96596869;50,03403131;0
root.Station_Cycle_Check;49,96539674;50,03460326;0
root.Station_Color_Measurement;33,33295203;66,66704797;0
root.Conveyor_To_Sorter;33,28833956;66,71166044;0
root.Lift_to_color;16,66676199;83,33323801;0
root.Conveyor_To_Cycle;16,66104244;83,33895756;0
root.Station_Cycle_Exit;16,64960335;50,05118995;33,2992067
root.Conveyor_To_Red_Buffer;5,547961267;94,45203873;0
root.Conveyor_To_Black_Buffer;5,547961267;94,45203873;0
root.Conveyor_To_Silver_Buffer;5,547961267;94,45203873;0
root.Source_Plant;0;0,07435412;99,92564588
root.Buffer_Red;0;100;0
root.Drain_Plant;0;100;0
root.Buffer_Black;0;100;0
root.Buffer_Silver;0;100;0
root.Buffer_Source;0;0,068634572;99,93136543
root.Buffer_Before_Cycle;0;66,67791511;33,32208489
root.Buffer_Before_Sorter;0;83,3561162;16,6438838
