resource,working,waiting,blocked
root.PickAndPlace_To_Sorter,96.79,3.21,0.00
root.Station_Cycle_Entry,51.85,24.09,24.06
root.Station_Cycle_Drill,51.85,24.08,24.07
root.Station_Cycle_Check,51.85,24.09,24.06
root.PickAndPlace_To_Lift,50.65,0.00,49.35
root.Station_Color_Measurement,34.57,59.89,5.54
root.Conveyor_To_Sorter,34.57,65.43,0.00
root.Lift_to_color,17.28,82.72,0.00
root.Station_Cycle_Exit,17.28,24.08,58.64
root.Conveyor_To_Cycle,12.66,40.18,47.16
root.Conveyor_To_Black_Buffer,5.76,94.24,0.00
root.Conveyor_To_Silver_Buffer,5.76,94.24,0.00
root.Conveyor_To_Red_Buffer,5.76,94.24,0.00
root.Source_Plant,0.00,0.00,100.00
root.Buffer_Red,0.00,100.00,0.00
root.Drain_Plant,0.00,100.00,0.00
root.Buffer_Black,0.00,100.00,0.00
root.Buffer_Silver,0.00,100.00,0.00
root.Buffer_Source,0.00,0.00,100.00
root.Buffer_Before_Cycle,0.00,9.65,90.35
root.Buffer_Before_Sorter,0.00,82.72,17.28
