resource,working,waiting,blocked
root.PickAndPlace_To_Sorter,100.00,0.00,0
root.Station_Color_Measurement,35.72,42.86,21.42618595
root.PickAndPlace_To_Lift,28.57,0.00,71.42767629
root.Station_Cycle_Entry,28.57,0.00,71.42582366
root.Station_Cycle_Drill,28.57,0.00,71.42625594
root.Station_Cycle_Check,28.57,0.00,71.42545313
root.Lift_to_color,14.29,85.71,0
root.Conveyor_To_Sorter,14.29,85.71,0
root.Station_Cycle_Exit,7.14,0.00,92.8551282
root.Conveyor_To_Cycle,3.57,0.01,96.42171289
root.Conveyor_To_Black_Buffer,2.38,97.62,0
root.Conveyor_To_Silver_Buffer,2.38,97.62,0
root.Conveyor_To_Red_Buffer,2.38,97.62,0
root.Source_Plant,0.00,0.00,99.99962947
root.Buffer_Red,0.00,100.00,0
root.Drain_Plant,0.00,100.00,0
root.Buffer_Black,0.00,100.00,0
root.Buffer_Silver,0.00,100.00,0
root.Buffer_Source,0.00,0.00,99.99966035
root.Buffer_Before_Cycle,0.00,0.00,99.99685053
root.Buffer_Before_Sorter,0.00,92.86,7.142772157
